Univeristy,City,State,GPA,Annual Tuition,Types of School,Size of Students
University of Missouri-Kansas City,Kansas City,MO,3.79,6945,private,8738
Montana State University,Bozeman,MT,2.74,10386,public,5768
NHTI-Concord's Community College,Concord,NH,2.15,5027,private,9705
Navajo Technical University,Crownpoint,NM,2.69,6714,public,18843
CUNY Hostos Community College,Bronx,NY,3.9,6425,public,5311
Medaille College,Buffalo,NY,2.92,9911,private,6987
St Lawrence University,Canton,NY,3.03,6463,public,12923
Elizabeth City State University,Elizabeth City,NC,3.3,10877,private,5763
ITT Technical Institute-Philadelphia,Philadelphia,PA,2.71,10236,public,8844
Aviation Institute of Maintenance-Las Vegas,Las Vegas,NV,2.19,6417,public,8873
University of Phoenix-California,Costa Mesa,CA,3.44,9930,public,5723
Virginia College-Jackson,Jackson,MS,2.32,5738,public,17567
Jones International University,Centennial,CO,3.12,6884,public,6131
ITT Technical Institute-Kansas City,Kansas City,MO,2.35,7237,private,6943
National American University-Zona Rosa,Kansas City,MO,2.89,10299,public,5559
ITT Technical Institute-Columbia,Columbia,SC,2.36,8424,public,8364
Pacific Northwest University of Health Sciences,Yakima,WA,2.08,8454,private,8266
The Commonwealth Medical College,Scranton,PA,2.61,5279,private,15621
Otero Junior College,La Junta,CO,1.7,9538,private,10040
Clearwater Christian College,Clearwater,FL,2.52,10154,private,13637
Luther Rice University & Seminary,Lithonia,GA,1.91,10967,private,17174
Bainbridge State College,Bainbridge,GA,1.76,10394,private,15513
University of Hawaii Maui College,Kahului,HI,3.32,8256,public,8978
East-West University,Chicago,IL,3.34,6452,private,12053
Lutheran School of Theology at Chicago,Chicago,IL,3.25,9834,public,12180
Resurrection University,Chicago,IL,2.79,6402,public,10551
Indiana Wesleyan University,Marion,IN,3.76,6056,public,18796
Flint Hills Technical College,Emporia,KS,3.63,9893,public,11446
Hazard Community and Technical College,Hazard,KY,1.94,5549,private,5236
Capitol Technology University,Laurel,MD,3.57,7304,private,16379
Episcopal Divinity School,Cambridge,MA,1.71,8322,private,11317
Wheelock College,Boston,MA,3.55,9515,private,5925
Mid Michigan Community College,Harrison,MI,3.72,9378,public,5354
Lake Superior College,Duluth,MN,1.97,5274,public,18630
Rochester Community and Technical College,Rochester,MN,1.98,9445,private,16702
Mississippi Valley State University,Itta Bena,MS,3.26,6986,private,19955
Evangel University,Springfield,MO,1.57,9054,private,8689
Three Rivers Community College,Poplar Bluff,MO,1.61,7995,private,12234
Regional West Medical Center School of Radiologic Technology,Scottsbluff,NE,2.1,5931,private,10188
Holy Name Medical Center School of Nursing,Teaneck,NJ,3.28,6002,public,12369
Cayuga County Community College,Auburn,NY,2.09,9313,public,9232
CUNY School of Law at Queens College,Long Island City,NY,2.76,6952,private,17313
Manhattanville College,Purchase,NY,1.99,5255,private,13151
St Bernard's School of Theology and Ministry,Rochester,NY,2.84,5818,public,19115
SUNY Maritime College,Throggs Neck,NY,3.8,9251,private,7807
Halifax Community College,Weldon,NC,3.33,8126,private,9728
Roanoke-Chowan Community College,Ahoskie,NC,1.73,8496,private,12878
University of Akron Wayne College,Orrville,OH,3.41,6189,public,19339
University of Dayton,Dayton,OH,3.08,9621,private,10773
University of Northwestern Ohio,Lima,OH,3.96,8166,public,6147
Daymar College-New Boston,New Boston,OH,3.94,9236,private,6616
Oklahoma State University Institute of Technology,Okmulgee,OK,3.31,9503,public,17298
Carlow University,Pittsburgh,PA,2.71,6954,private,16760
Lancaster Theological Seminary,Lancaster,PA,2.18,6222,private,17697
Virginia Tech Carilion School of Medicine,Roanoke,VA,3.35,10568,public,19781
ITT Technical Institute-Hanover,Hanover,MD,1.69,8023,public,8795
Universidad Internacional Iberoamericana,Arecibo,PR,3.81,10296,private,18570
Virginia Baptist College,Fredericksburg,VA,2.48,5153,public,18156
Centro de Estudios Multidisciplinarios-Mayaguez,Mayaguez,PR,2.93,9148,public,4820
Miles College,Fairfield,AL,1.54,6468,private,9333
Arizona State University-Tempe,Tempe,AZ,2.36,7270,public,6855
California Institute of Integral Studies,San Francisco,CA,2.31,9078,private,19932
Fresno Pacific University,Fresno,CA,2.21,6626,public,17219
Merritt College,Oakland,CA,3.64,9179,public,12757
Santa Barbara Business College-Santa Maria,Santa Maria,CA,2.82,10245,public,13432
Lincoln College of New England-Southington,Southington,CT,3.31,7771,public,14945
Corcoran College of Art and Design,Washington,DC,3.71,8794,private,7685
Pensacola State College,Pensacola,FL,1.67,6574,private,10695
South University-Savannah,Savannah,GA,2.92,6977,public,12706
Brown University,Providence,RI,3.08,6516,public,13936
Dyersburg State Community College,Dyersburg,TN,1.58,7715,public,12381
The Art Institute of Houston,Houston,TX,3.64,5522,private,5832
Lamar State College-Orange,Orange,TX,3.97,10363,private,16753
Southwestern University,Georgetown,TX,2.84,5044,public,9934
Bryant & Stratton College-Richmond,North Chesterfield,VA,3.78,8891,public,16948
Highline College,Des Moines,WA,3.81,10780,public,7707
Huntington Junior College,Huntington,WV,1.87,8428,private,7951
Lakeland College,Plymouth,WI,3.74,5143,private,8370
Guam Community College,Mangilao,GU,3.48,8495,public,16380
Owensboro Community and Technical College,Owensboro,KY,1.9,8376,private,5487
Argosy University-Atlanta,Atlanta,GA,3.54,8597,private,14624
University of Phoenix-New Mexico,Albuquerque,NM,2.95,6827,private,10549
Johnson & Wales University-North Miami,North Miami,FL,3.31,5575,private,6329
ITT Technical Institute-Hialeah,Hialeah,FL,3.58,9989,public,11475
ITT Technical Institute-Richmond,Richmond,VA,2.15,8399,private,12202
University of Phoenix-Idaho,Meridian,ID,2.94,10154,public,6415
Vatterott College-Cleveland,Broadview Heights,OH,3.16,9187,private,8348
National University College-Rio Grande,Rio Grande,PR,1.77,10495,private,6969
ITT Technical Institute-Lexington,Lexington,KY,3.56,8615,public,9658
The Art Institute of Charleston,Charleston,SC,3.81,10304,public,12256
J F Drake State Community and Technical College,Huntsville,AL,1.71,10521,public,6069
CollegeAmerica-Flagstaff,Flagstaff,AZ,3.83,8407,public,16785
Arkansas Tech University,Russellville,AR,3.77,10604,public,5997
ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,1.63,6143,public,12442
Athens Technical College,Athens,GA,3.18,6814,private,9583
Hodges University,Naples,FL,3.5,8176,public,10884
ITT Technical Institute-San Antonio,San Antonio,TX,2.45,5338,private,14889
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,2.7,7475,private,8827
ITT Technical Institute-Pittsburgh,Pittsburgh,PA,3.46,6715,private,8662
The Illinois Institute of Art-Schaumburg,Schaumburg,IL,1.83,7376,public,15470
Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,2.34,6584,private,12208
Argosy University-Dallas,Farmers Branch,TX,3.17,10905,private,18389
Family of Faith College,Shawnee,OK,2.99,10304,private,17283
Everest College-Mesa,Mesa,AZ,1.86,5321,private,18904
Argosy University-Nashville,Nashville,TN,3.18,10226,public,18812
National American University-Wichita,Wichita,KS,1.85,10836,public,6302
Minnesota School of Business-Elk River,Elk River,MN,3,9814,public,18480
Strayer University-Texas,Austin,TX,2,10310,public,13720
Everest College-Fort Worth South,Ft Worth,TX,2.36,5648,public,12688
Sanford-Brown College-Austin,Austin,TX,3.53,6139,public,17006
National College-Canton,Canton,OH,3.38,7388,public,12444
DeVry University-Indiana,Indianapolis,IN,3.38,8673,public,8577
University of West Los Angeles,Inglewood,CA,1.7,8185,private,11094
Brown Mackie College-Phoenix,Phoenix,AZ,2.31,8834,private,12413
Fortis College-Columbia,Columbia,SC,2.7,6839,public,14463
Jose Maria Vargas University,Pembroke Pines,FL,3.45,7100,private,13311
South Universityâ€“Savannah Online,Savannah,GA,2.2,6713,private,10022
Savannah Law School,Savannah,GA,3.26,5923,public,5744
University of Phoenix-Arizona,Tempe,AZ,2.56,8199,public,18808
Trident University International,Cypress,CA,3.47,5224,public,12203
Broadview University-Orem,Orem,UT,3.02,6099,private,19797
Minnesota School of Business-Lakeville,Lakeville,MN,2.23,7049,public,11078
Carolina College of Biblical Studies,Fayetteville,NC,3.42,5179,public,12355
The Art Institute of Wisconsin,Milwaukee,WI,1.94,10417,private,6258
Bryant & Stratton College-Online,Orchard Park,NY,2.49,9496,private,14681
DeVry University-Ohio,Columbus,OH,1.54,5483,public,19678
BridgeValley Community & Technical College,South  Charleston,WV,3.26,5002,private,13927
Miller-Motte Technical College-Chattanooga,Chattanooga,TN,3.6,8522,private,6785
Everest College-Fort Worth,Fort Worth,TX,3.29,10236,private,10747
International Institute for Restorative Practices,Bethlehem,PA,3.72,6968,private,12788
Whittier College,Whittier,CA,3.63,8331,private,9269
Wilmington University,New Castle,DE,2.9,5198,public,13826
Florida Keys Community College,Key West,FL,3.94,10282,public,8801
Saint John Vianney College Seminary,Miami,FL,3.35,7341,public,7469
Interdenominational Theological Center,Atlanta,GA,1.85,7106,private,9514
Blackburn College,Carlinville,IL,3.8,7325,public,6339
Illinois College of Optometry,Chicago,IL,2.69,7599,private,17150
Saint Xavier University,Chicago,IL,2.84,10178,private,7696
Indiana University-Kokomo,Kokomo,IN,1.98,10442,private,19947
Simpson College,Indianola,IA,2.87,5758,public,16137
Asbury University,Wilmore,KY,1.95,7092,public,11323
Nicholls State University,Thibodaux,LA,2.37,6121,public,4631
Babson College,Wellesley,MA,1.92,6991,public,19745
Saint John's Seminary,Brighton,MA,3.24,5808,private,5213
Gogebic Community College,Ironwood,MI,2.33,6804,public,14568
Spring Arbor University,Spring Arbor,MI,1.71,7810,private,6903
Minneapolis Community and Technical College,Minneapolis,MN,3.93,9669,public,11787
Meridian Community College,Meridian,MS,2.18,5994,private,14334
Culver-Stockton College,Canton,MO,3,10292,public,12518
Moberly Area Community College,Moberly,MO,2.11,7240,private,4531
Salish Kootenai College,Pablo,MT,3.85,9005,public,16570
duCret School of Arts,Plainfield,NJ,2,10847,public,11454
The Ailey School,New York,NY,1.95,10231,public,11557
Columbia University in the City of New York,New York,NY,3.5,7920,public,7215
Jefferson Community College,Watertown,NY,1.93,9700,private,16981
Paul Smiths College of Arts and Science,Paul Smiths,NY,1.88,10274,public,19836
SUNY College at Potsdam,Potsdam,NY,2.1,8938,public,7390
Campbell University,Buies Creek,NC,2.09,9812,public,13193
William Peace University,Raleigh,NC,3.5,10803,private,18065
Winston-Salem State University,Winston-Salem,NC,2.26,10080,public,14130
Clark State Community College,Springfield,OH,2.84,10981,private,6246
Ohio Business College-Sheffield,Sheffield Village,OH,3.18,10452,private,14189
Firelands Regional Medical Center School of Nursing,Sandusky,OH,2.22,5969,public,15552
Bacone College,Muskogee,OK,3.09,8429,private,16013
Western Oregon University,Monmouth,OR,3.42,7911,private,6106
Harcum College,Bryn Mawr,PA,2.06,6124,public,18423
Pennsylvania State University-College of Medicine,Hershey,PA,2.75,7478,private,11697
Virginia College-Spartanburg,Spartanburg,SC,2.94,6760,public,7017
National University College-Caguas,Caguas,PR,1.64,6615,public,7680
Pennsylvania State University-World Campus,University Park,PA,3.51,5715,private,16726
Central Georgia Technical College,Warner Robins,GA,3.76,8794,public,16711
Concordia College Alabama,Selma,AL,2.89,6447,private,15880
H Councill Trenholm State Technical College,Montgomery,AL,2.8,9340,private,9283
Arkansas Northeastern College,Blytheville,AR,2.11,10148,public,5011
Chabot College,Hayward,CA,1.91,9265,public,11739
Laguna College of Art and Design,Laguna Beach,CA,2.83,9379,public,17029
Pacific School of Religion,Berkeley,CA,2.39,10354,private,18562
Northeastern Junior College,Sterling,CO,2.85,10219,public,10812
Delaware Technical Community College-Owens,Georgetown,DE,2.92,5272,private,6814
Florida State University,Tallahassee,FL,2.5,9380,private,5234
The Art Institute of Atlanta,Atlanta,GA,2.01,8348,public,4800
Triangle Tech Inc-Greensburg,Greensburg,PA,2.27,10485,private,18028
Tri-County Technical College,Pendleton,SC,3.52,6754,public,8138
The University of Tennessee-Martin,Martin,TN,2.97,10699,public,10181
El Paso Community College,El Paso,TX,2.14,5474,private,19474
Northwood University-Texas,Cedar Hill,TX,1.5,9189,private,7725
Texas Woman's University,Denton,TX,3.6,5882,private,12918
Miller-Motte Technical College-Lynchburg,Lynchburg,VA,1.71,8749,private,7631
Shoreline Community College,Shoreline,WA,2.8,6469,public,10884
Wheeling Jesuit University,Wheeling,WV,1.58,8782,private,15725
Silver Lake College of the Holy Family,Manitowoc,WI,3.85,8703,public,13719
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,1.62,5066,private,17762
ITT Technical Institute-Arlington Heights,Arlington Heights,IL,1.71,8933,public,17750
Provo College,Provo,UT,2.67,7826,private,14402
College of Menominee Nation,Keshena,WI,1.74,5973,public,15354
Miami Ad School-Wynwood,Miami,FL,1.98,9795,private,8521
ITT Technical Institute-Liverpool,Liverpool,NY,1.5,7326,private,8889
ATS Institute of Technology,Highland Heights,OH,2.85,8095,private,11053
Irell & Manella Graduate School of Biological Sciences at City of Hope,Duarte,CA,3.77,10015,public,13172
DigiPen Institute of Technology,Redmond,WA,2.88,10327,private,12086
Stevens-Henager College,Logan,UT,2.31,7267,public,8803
Miami-Jacobs Career College-Springboro,Springboro,OH,1.55,6448,public,13951
Athens State University,Athens,AL,3.39,8214,private,17802
Bishop State Community College,Mobile,AL,3.16,10939,private,13514
South Mountain Community College,Phoenix,AZ,1.52,5293,private,18623
College of the Ouachitas,Malvern,AR,3.04,10251,public,19833
Bais Medrash Elyon,Monsey,NY,2.56,5592,private,6383
Southwest Acupuncture College-Santa Fe,Santa Fe,NM,2.1,7453,public,8748
Bethel Seminary of the East,Landover,MD,3.39,8731,public,19021
Sanford-Brown College-Collinsville,Collinsville,IL,3.34,9167,public,4650
The Art Institute of California-Argosy University Hollywood,North Hollywood,CA,3.43,9975,private,9220
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,2.76,9485,public,17035
FINE Mortuary College,Norwood,MA,1.76,5961,public,8768
Apex School of Theology,Durham,NC,2.1,10603,public,17630
Everest College-Dallas,Dallas,TX,2.36,10265,public,14337
University of Phoenix-Kentucky,Louisville,KY,2.07,10490,private,13201
Dewey University-Juana DÃ_az,Juana Diaz,PR,2.03,6683,private,7658
Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,3.19,9281,public,8074
The Chicago School of Professional Psychology at Westwood,Los Angeles,CA,3.89,5775,private,14662
National University College-Ponce,Ponce,PR,2.26,8327,private,11838
ITT Technical Institute-Dearborn,Dearborn,MI,2.77,6960,public,11129
Mesivta Keser Torah,Belmar,NJ,2.88,7448,private,14862
Miami Ad School-New York,Brooklyn,NY,3.44,6313,public,14255
South University-High Point,High Point,NC,2.61,10726,public,14431
Comanche Nation College,Lawton,OK,2.42,7765,private,13702
The Chicago School of Professional Psychology at Irvine,Irvine,CA,3.07,7699,public,14227
ITT Technical Institute-Akron,Akron,OH,2.85,6613,public,6567
Hawaii Medical College,Honolulu,HI,3.69,8986,private,17218
National American University-Centennial,Centennial,CO,2.33,7182,public,18033
Virginia College-Shreveport Bossier City,Bossier City,LA,3.67,8478,public,8362
Antioch College,Yellow Springs,OH,2.24,10238,private,4940
National American University-Harold D. Buckingham Graduate School,Austin,TX,1.81,8510,private,7260
Argosy University-Salt Lake City,Draper,UT,3.52,10211,private,11982
ITT Technical Institute-Concord,Concord,CA,2.38,10530,private,17218
Brown Mackie College-Albuquerque,Albuquerque,NM,1.72,10100,public,16254
Independence University,Salt Lake City,UT,1.56,8579,private,11818
Stella and Charles Guttman Community College,New York,NY,1.54,7170,private,17445
Georgia Regents University,Augusta,GA,3.97,9416,private,11003
Arizona State University-Skysong,Scottsdale,AZ,2.46,7459,public,6999
Franklin W Olin College of Engineering,Needham,MA,2.43,6154,public,7297
Westwood College-Atlanta Midtown,Atlanta,GA,3.9,8031,public,16488
Le Cordon Bleu College of Culinary Arts-Minneapolis,Mendota Heights,MN,3.15,10440,private,14203
Central Connecticut State University,New Britain,CT,2.12,8057,private,5450
Eckerd College,Saint Petersburg,FL,1.66,7441,private,18662
State College of Florida-Manatee-Sarasota,Bradenton,FL,3.21,7424,private,8652
Bauder College,Atlanta,GA,1.92,6555,private,11092
North Idaho College,Coeur d'Alene,ID,2.05,9490,public,8931
Eastern Illinois University,Charleston,IL,3.18,6166,private,19952
Trinity College of Nursing & Health Sciences,Rock Island,IL,3.97,6882,private,6990
Western Illinois University,Macomb,IL,3.55,6174,public,8932
Martin University,Indianapolis,IN,2.53,10477,private,11197
Hesston College,Hesston,KS,1.83,8637,private,18932
Kentucky State University,Frankfort,KY,2.2,5642,public,15748
Cecil College,North East,MD,3.44,9610,private,12788
Lawrence Memorial Hospital School of Nursing,Medford,MA,3.56,10382,public,12390
Baker College of Flint,Flint,MI,1.55,5319,private,5008
Baker College of Muskegon,Muskegon,MI,2.65,7006,public,7068
Minnesota State Community and Technical College,Fergus Falls,MN,2.87,5891,public,14500
The College of Saint Scholastica,Duluth,MN,3.03,5464,private,17979
Northeast Mississippi Community College,Booneville,MS,3.35,8823,public,14943
Kansas City Art Institute,Kansas City,MO,3.85,9648,private,13315
Blackfeet Community College,Browning,MT,2.59,6628,private,8240
Western Nebraska Community College,Scottsbluff,NE,2.43,7681,private,8954
Middlesex County College,Edison,NJ,3.28,7799,public,13990
Cazenovia College,Cazenovia,NY,1.75,7819,private,18193
D'Youville College,Buffalo,NY,2.76,10577,public,19766
Mirrer Yeshiva Cent Institute,Brooklyn,NY,3.03,7289,private,5663
St Bonaventure University,Saint Bonaventure,NY,1.79,7200,public,9925
Swedish Institute a College of Health Sciences,New York,NY,2.59,5226,public,14188
High Point University,High Point,NC,2.91,10697,public,15199
Southwestern Community College,Sylva,NC,3.91,10791,public,6461
Bluffton University,Bluffton,OH,2.41,7596,public,13869
Defiance College,Defiance,OH,3.57,6749,public,14927
Ohio University-Chillicothe Campus,Chillicothe,OH,3.43,10431,private,12002
Brown Mackie College-Akron,Akron,OH,1.63,10608,public,6391
St. Gregory's University,Shawnee,OK,2.24,9994,private,17582
Carnegie Mellon University,Pittsburgh,PA,3.27,8806,private,7275
Vet Tech Institute,Pittsburgh,PA,2.34,7505,public,4993
Compass College of Cinematic Arts,Grand Rapids,MI,3.03,8652,public,10015
University of Phoenix-Mississippi,Flowood,MS,2.84,8509,public,12188
California College San Diego,San Marcos,CA,3.82,6941,public,12550
DeVry College of New York,New York,NY,3.79,9252,public,15320
Dewey University-Mayaguez,Mayaguez,PR,1.5,9926,public,10590
University of Montevallo,Montevallo,AL,2.71,10737,public,14036
Grand Canyon University,Phoenix,AZ,3.75,7032,public,18962
California State University-Bakersfield,Bakersfield,CA,1.99,8637,private,12121
Grossmont College,El Cajon,CA,3.08,5113,private,15548
Modesto Junior College,Modesto,CA,2.25,8397,public,18290
Saint Mary's College of California,Moraga,CA,3.79,9798,public,9620
Connecticut College,New London,CT,3.47,6907,private,13062
Trinity Washington University,Washington,DC,2.78,6180,public,5441
Seminole State College of Florida,Sanford,FL,3.19,7323,private,17518
University of Pittsburgh-Johnstown,Johnstown,PA,2.75,7910,private,13698
Aiken Technical College,Graniteville,SC,1.52,6722,private,14268
John A Gupton College,Nashville,TN,2.73,10968,private,11399
Remington College-Dallas Campus,Garland,TX,2.75,6531,private,11693
University of Mary Hardin-Baylor,Belton,TX,2.76,10630,public,10094
Southwestern Christian College,Terrell,TX,3.37,8239,public,17471
Ferrum College,Ferrum,VA,3.91,5320,public,18897
ITT Technical Institute-Spokane Valley,Spokane Valley,WA,3.16,10184,private,8963
West Virginia School of Osteopathic Medicine,Lewisburg,WV,3.38,6080,public,16110
Milwaukee Area Technical College,Milwaukee,WI,1.74,9403,public,15537
University of Guam,Mangilao,GU,1.74,9163,private,13036
Sanford-Brown Institute-Trevose,Trevose,PA,3.24,5145,private,7214
Everest College-City of Industry,City of Industry,CA,3.51,5357,public,15428
Brown Mackie College-Fort Wayne,Fort Wayne,IN,1.6,6787,private,15148
Phillips Theological Seminary,Tulsa,OK,1.55,7545,public,13768
Colegio de CinematografÃ_a Artes y Television,Bayamon,PR,3.79,6767,private,9763
Vatterott College-Oklahoma City,Warr Acres,OK,1.54,9595,public,14347
Miami Ad School-Minneapolis,Minneapolis,MN,2.12,8025,public,15073
Edward Via College of Osteopathic Medicine,Blacksburg,VA,2.3,8531,public,11245
Byzantine Catholic Seminary of Saints Cyril and Methodius,Pittsburgh,PA,1.99,7875,public,16234
University of Phoenix-Connecticut,Norwalk,CT,2.15,8285,public,17800
The Art Institute of California-Argosy University Sacramento,Sacramento,CA,1.72,8952,private,6280
Jacksonville State University,Jacksonville,AL,1.79,9078,private,9235
Southwest University of Visual Arts-Tucson,Tucson,AZ,2.34,9495,public,16828
University of Arkansas at Monticello,Monticello,AR,2.63,7753,private,15684
Allan Hancock College,Santa Maria,CA,2.31,10543,private,16329
Landmark College,Putney,VT,2.56,6224,private,11672
Everest University-Lakeland,Lakeland,FL,3.66,8305,private,6354
Northwest College of Art & Design,Poulsbo,WA,3.4,10072,private,14234
Minnesota School of Business-Brooklyn Center,Brooklyn Center,MN,2.3,10614,public,16137
Augusta Area Dietetic Internship-University Hospital,Augusta,GA,2.55,10210,private,18602
ITT Technical Institute-Strongsville,Strongsville,OH,2.33,5152,public,10612
Seattle Institute of Oriental Medicine,Seattle,WA,1.95,9522,public,13029
ITT Technical Institute-Plymouth Meeting,Plymouth Meeting,PA,3.49,7366,private,16255
Pierpont Community and Technical College,Fairmont,WV,2.61,5586,private,10106
AmeriTech College-Draper,Draper,UT,2.9,8941,public,6430
Argosy University-San Diego,San Diego,CA,2.29,10041,public,10714
Fortis College-Landover,Landover,MD,2.21,8172,private,8565
Globe University-Eau Claire,Eau Claire,WI,1.55,8113,public,7701
Bryant & Stratton College-Hampton,Hampton,VA,3.35,9868,public,4651
Moreno Valley College,Moreno Valley,CA,3.1,8589,public,11922
Rio Grande Bible Institute,Edinburg,TX,3.81,7719,public,19026
Shiloh University,Kalona,IA,3.52,8665,private,8359
DeVry University-Wisconsin,Milwaukee,WI,2.86,9584,private,18602
Georgia Military College,Milledgeville,GA,2.92,9476,private,16302
Academy for Jewish Religion-California,Los Angeles,CA,3.24,9039,private,16836
Ecotech Institute,Aurora,CO,1.54,5787,public,19353
Keweenaw Bay Ojibwa Community College,Baraga,MI,3.45,6547,public,6366
Miller-Motte Technical College-Roanoke,Roanoke,VA,3.67,9348,private,17463
Florida Institute of Technology-Online,Melbourne,FL,3.13,5692,public,9247
University of Phoenix-Arkansas,Little Rock,AR,1.68,8781,private,17949
Academy for Five Element Acupuncture,Gainesville,FL,2.14,10938,private,19644
Institute of Production and Recording,Minneapolis,MN,3.28,7455,private,14791
Globe Universityâ€“Madison West,Middleton,WI,3.65,7852,private,18016
Jung Tao School of Classical Chinese Medicine,Sugar Grove,NC,3.19,8236,private,17015
All-State Career School-Allied Health Campus,Essington,PA,3.47,8569,private,10349
Elizabethtown College School of Continuing and Professional Studies,Elizabethtown,PA,3.67,6895,public,6088
DeVry University-Oregon,Portland,OR,2.31,6617,private,6346
National Graduate School of Quality Management,Falmouth,MA,3.92,5299,public,8501
Court Reporting Institute of Louisiana,Baton Rouge,LA,3.58,10007,private,10115
Johnson & Wales University-Charlotte,Charlotte,NC,2.03,7068,private,8800
ITT Technical Institute-South Bend,South Bend,IN,2.28,7565,private,10039
Ottawa University-Online,Ottawa,KS,1.94,8752,private,6421
ITT Technical Institute-Huntington,Huntington,WV,2.48,10543,public,6027
Globe University-Madison East,Madison,WI,2.6,8301,public,12136
Virginia College-Richmond,Richmond,VA,3.2,9298,public,13581
Azusa Pacific University College,Glendora,CA,2.52,5197,private,8501
ITT Technical Institute-Salem,Salem,OR,2.91,9733,private,17955
DeVry University-Pennsylvania,Fort Washington,PA,2.28,10404,public,11193
The Art Institute of Raleigh-Durham,Durham,NC,3.24,5023,public,8870
Institute of World Politics,Washington,DC,2.77,10648,public,14334
Globe Universityâ€“Wausau,Rothschild,WI,3.38,5093,private,10271
Brown Mackie College-Birmingham,Birmingham,AL,2.51,5302,private,9698
Virginia College-Tulsa,Tulsa,OK,1.65,9836,private,5571
Mid-South Christian College,Memphis,TN,2.17,5836,public,19662
Antelope Valley College,Lancaster,CA,1.81,9986,private,10846
Claremont Graduate University,Claremont,CA,3.36,10338,public,5777
Foothill College,Los Altos Hills,CA,3.1,5862,private,10883
Los Angeles Mission College,Sylmar,CA,1.98,5671,private,9323
San Francisco Art Institute,San Francisco,CA,2.19,6122,private,18491
West Hills College-Coalinga,Coalinga,CA,2.16,10722,public,13689
Middlesex Community College,Middletown,CT,1.93,9046,public,7828
Daytona State College,Daytona Beach,FL,1.92,9028,private,9334
Nova Southeastern University,Fort Lauderdale,FL,3.48,5035,public,13132
Albany State University,Albany,GA,3.6,7816,public,13771
South Georgia Technical College,Americus,GA,2.89,10664,private,14178
Danville Area Community College,Danville,IL,3.1,7915,public,14892
McHenry County College,Crystal Lake,IL,3.47,8692,public,11348
Trinity Christian College,Palos Heights,IL,2.84,7623,private,7838
Iowa Central Community College,Fort Dodge,IA,3.81,8271,public,12775
Manhattan Christian College,Manhattan,KS,1.74,8100,private,8930
ITI Technical College,Baton Rouge,LA,3.72,10243,private,10018
New England College of Business and Finance,Boston,MA,3.36,5495,private,5625
Massachusetts Maritime Academy,Buzzards Bay,MA,2.69,5692,public,16806
Alpena Community College,Alpena,MI,3.52,9634,public,13545
The Art Institutes International-Minnesota,Minneapolis,MN,2.16,5996,private,18685
Cox College,Springfield,MO,2.53,5460,public,5189
Aaniiih Nakoda College,Harlem,MT,3.11,9191,private,19326
The Art Institute of Las Vegas,Henderson,NV,1.83,9706,public,18488
St Francis Medical Center-School of Radiologic Technology,Trenton,NJ,3.48,7576,private,10351
Bryant & Stratton College-Amherst,Getzville,NY,2.46,9453,private,6100
Finger Lakes Community College,Canandaigua,NY,2.65,10829,private,4945
Rabbinical College Beth Shraga,Monsey,NY,2.87,6887,private,6605
IGlobal University,Annandale,VA,3.24,10837,public,14879
Global Health College,Alexandria,VA,3.11,8445,public,18137
Pinchot University,Seattle,WA,2.79,7183,private,8599
South Universityâ€“Virginia Beach,Virginia Beach,VA,1.62,8674,public,16350
Bridgewater State University,Bridgewater,MA,3.34,8119,private,16096
Roxbury Community College,Roxbury Crossing,MA,2.48,8603,private,11500
Lawrence Technological University,Southfield,MI,2.41,9529,public,13123
Gustavus Adolphus College,Saint Peter,MN,3.15,10273,private,13833
Coahoma Community College,Clarksdale,MS,3.24,8639,public,11827
Maryville University of Saint Louis,Saint Louis,MO,3.4,9505,public,5294
York College,York,NE,3.77,6360,private,9188
Felician College,Lodi,NJ,1.57,7347,private,14313
Seton Hall University,South Orange,NJ,1.68,8540,private,12465
Briarcliffe College,Bethpage,NY,1.55,9639,private,15260
Iona College,New Rochelle,NY,3.05,10482,public,11178
Orange County Community College,Middletown,NY,3.73,10561,public,6012
St James Mercy Hospital School of Radiologic Science,Hornell,NY,3.27,7479,private,11807
Yeshiva Derech Chaim,Brooklyn,NY,2.46,9940,public,16782
Elon University,Elon,NC,2.96,5841,public,10797
University of North Carolina School of the Arts,Winston-Salem,NC,2.12,9209,private,10139
Cincinnati State Technical and Community College,Cincinnati,OH,3.63,8450,private,10309
Muskingum University,New Concord,OH,3.63,10095,public,12801
Tri-State Bible College,South Point,OH,3.26,10937,private,6260
Blue Mountain Community College,Pendleton,OR,3.79,6351,private,18182
Gettysburg College,Gettysburg,PA,3.42,7746,private,19025
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,2.82,10052,private,18011
Washington & Jefferson College,Washington,PA,1.98,7987,public,18049
Cathedral Bible College,Myrtle Beach,SC,2.94,10434,private,5549
Mitchell Technical Institute,Mitchell,SD,2.19,6362,public,13843
University of Memphis,Memphis,TN,2.52,10203,public,15991
University of Dallas,Irving,TX,3.91,10807,private,13426
University of St Thomas,Houston,TX,2.9,5441,public,5073
